count,time_s,lux,press,temp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
160,2.357227,85.576469,1011.616455,29.726562,0.448975,1.059265,1.540527,33.497307,-50.557625,58.6483,-23.468067,33.172226,-237.734299
161,2.369922,85.576469,1011.632568,29.726562,0.434814,1.157898,1.521484,15.247797,-52.205574,30.144882,-21.90353,53.707417,-245.30545
162,2.384771,85.576469,1011.615967,29.726562,0.31665,1.15741,1.483398,-20.335699,-32.125008,53.704453,-18.774454,53.707417,-239.24852
163,2.429407,85.576469,1011.601562,29.726562,0.369385,0.875671,1.450684,-54.332283,18.351067,85.686874,-10.951765,55.287045,-234.705826
164,2.44219,85.576469,1011.638184,29.726562,0.378662,0.82489,1.420898,-52.562263,29.39843,82.20787,-9.387227,60.025936,-230.163147
165,2.457035,85.576469,1011.612793,29.726562,0.374268,0.814148,1.424316,-37.181404,26.957024,72.320175,-6.258152,56.866676,-221.077759
166,2.469713,85.576469,1011.597412,29.726562,0.299561,0.800964,1.460938,-13.621832,14.872063,72.991562,-6.258152,50.548157,-221.077759
167,2.482464,85.576469,1011.609375,29.726562,0.282471,0.800964,1.43457,6.092524,5.289543,87.578964,3.129076,56.866676,-202.906982
168,2.495114,85.576469,1011.617676,29.726562,0.282959,0.8078,1.422363,16.895746,6.388176,97.405624,4.693614,55.287045,-231.677368
169,2.509931,85.576469,1011.602295,29.703125,0.262451,0.795105,1.48291,28.553461,12.735832,94.231796,3.129076,66.344452,-208.963898
170,2.522577,85.576469,1011.616699,29.703125,0.29126,0.862488,1.555664,38.319084,19.81591,88.677597,-9.387227,69.503716,-215.020828
171,2.535234,85.576469,1011.603027,29.703125,0.301025,0.921082,1.651855,48.023674,17.92382,76.897812,14.080841,74.242607,-210.478134
172,2.547891,85.576469,1011.615723,29.703125,0.342041,0.860046,1.665039,58.216545,15.421379,63.286972,-6.258152,60.025936,-199.87851
173,2.562642,85.576469,1011.615723,29.703125,0.284912,0.740417,1.812012,76.954338,13.65136,57.183456,-6.258152,72.662971,-208.963898
174,2.575351,85.576469,1011.640869,29.703125,0.3479,0.830261,2.255371,105.457756,39.469231,14.458847,-12.516303,82.140747,-205.93544
175,2.58801,85.576469,1011.657959,29.703125,0.29126,0.857605,2.016113,89.771721,23.966301,-27.41127,-14.080841,86.879639,-189.2789
176,2.600657,85.576469,1011.631104,29.703125,0.291748,0.866882,1.836914,71.461174,0.406731,6.707382,-26.597143,86.879639,-201.392746
177,2.615378,108.617027,1011.610352,29.703125,0.31958,0.933289,1.755371,20.863031,2.848137,52.544785,-25.032606,88.459267,-187.764679
178,2.628015,108.617027,1011.623779,29.703125,0.195068,0.822449,1.61084,11.402582,-9.66407,62.127304,-39.113445,80.561119,-210.478134
179,2.640661,108.617027,1011.650146,29.703125,0.251221,0.875183,1.412598,7.313227,-26.265633,78.728867,-34.41983,94.777794,-205.93544
180,2.655397,108.617027,1011.610596,29.703125,0.222412,0.900085,1.327637,-11.912848,-29.439461,90.203476,-21.90353,101.096313,-196.850052
181,2.668093,108.617027,1011.632324,29.703125,0.238525,0.833679,1.210449,-32.359627,-45.857918,89.043808,-21.90353,88.459267,-196.850052
182,2.712605,108.617027,1011.62085,29.703125,0.110107,-0.069153,0.981445,-294.44458,8.402336,73.907089,-20.338991,77.401863,-183.22197
183,2.725305,108.617027,1011.5979,29.703125,0.176514,-0.323059,1.822266,49.061272,-128.133301,15.80162,10.951765,83.720383,-180.193512
184,2.740102,108.617027,1011.626709,29.71875,0.476807,1.233582,1.483887,166.798096,-88.155281,5.547714,-3.129076,72.662971,-193.821594
185,2.752797,108.617027,1011.630127,29.71875,0.303467,1.131531,1.422363,-33.763435,115.58007,55.047226,-9.387227,78.981491,-190.793137
186,2.76544,108.617027,1011.614258,29.71875,0.002197,0.382019,1.411133,49.610588,51.615227,104.729843,-3.129076,88.459267,-205.93544
187,2.778077,108.617027,1011.633057,29.71875,0.662354,1.097351,1.451172,141.773682,-33.162605,116.814804,-18.774454,91.618538,-184.736191
188,2.792824,108.617027,1011.605469,29.71875,-0.128662,0.956726,1.792969,71.278069,1.93261,104.180527,-10.951765,96.357422,-192.307358
189,2.805451,108.617027,1011.616211,29.71875,0.163818,0.724304,1.841309,-54.271248,-54.52491,106.927109,-23.468067,80.561119,-195.335831
190,2.818091,108.617027,1011.62793,29.71875,0.416748,0.703796,2.010742,26.600336,-51.717293,100.518417,-6.258152,85.300011,-199.87851
191,2.830714,108.617027,1011.61084,29.71875,0.39917,0.992371,2.20166,49.854729,-0.020515,62.737656,-6.258152,78.981491,-199.87851
192,2.845418,108.617027,1011.604004,29.71875,0.238525,0.875671,2.034668,42.835686,-3.438484,49.737167,-18.774454,88.459267,-181.707733
